keyword,repo,file,url,raw_url
"extension:csv ""Harvard University"" in:file",IndoNLP/nusa-writes,data/nusa_alinea-emot-min-valid.csv,https://github.com/IndoNLP/nusa-writes/blob/b337f511185cd44c9c57ff906ecef1af6165adbc/data/nusa_alinea-emot-min-valid.csv,https://raw.githubusercontent.com/IndoNLP/nusa-writes/b337f511185cd44c9c57ff906ecef1af6165adbc/data/nusa_alinea-emot-min-valid.csv
"extension:csv ""Harvard University"" in:file",nd7141/icml2020,university2.csv,https://github.com/nd7141/icml2020/blob/76d350280a44e8c81639ae5d0c1e06fbb4397bdc/university2.csv,https://raw.githubusercontent.com/nd7141/icml2020/76d350280a44e8c81639ae5d0c1e06fbb4397bdc/university2.csv
"extension:csv ""Harvard University"" in:file",ruy1su/DataMining-Project,data-set/tweets/MSFT/MSFT-2014-12-17.csv,https://github.com/ruy1su/DataMining-Project/blob/d4dc2258dd4aa8fe9ccea5ba6c18144c026f160b/data-set/tweets/MSFT/MSFT-2014-12-17.csv,https://raw.githubusercontent.com/ruy1su/DataMining-Project/d4dc2258dd4aa8fe9ccea5ba6c18144c026f160b/data-set/tweets/MSFT/MSFT-2014-12-17.csv
"extension:csv ""Harvard University"" in:file",kartikarizqin/journal-topic-modeling,data/2014/pencitraanmedis.csv,https://github.com/kartikarizqin/journal-topic-modeling/blob/24813e9975fe87d4f79d85df5367bb7bdf663d27/data/2014/pencitraanmedis.csv,https://raw.githubusercontent.com/kartikarizqin/journal-topic-modeling/24813e9975fe87d4f79d85df5367bb7bdf663d27/data/2014/pencitraanmedis.csv
"extension:csv ""Harvard University"" in:file",petermr/docanalysis,resources/stem_cell_research_300_2020.csv,https://github.com/petermr/docanalysis/blob/0c13927e85b76d9543741bbc648a5ba04ea73ee5/resources/stem_cell_research_300_2020.csv,https://raw.githubusercontent.com/petermr/docanalysis/0c13927e85b76d9543741bbc648a5ba04ea73ee5/resources/stem_cell_research_300_2020.csv
"extension:csv ""Harvard University"" in:file",Exilitys/TemuBicara,dataset/public_speakers_clean.csv,https://github.com/Exilitys/TemuBicara/blob/9cb2aa4985aadc37940b7a38b9a9fc9e56335af3/dataset/public_speakers_clean.csv,https://raw.githubusercontent.com/Exilitys/TemuBicara/9cb2aa4985aadc37940b7a38b9a9fc9e56335af3/dataset/public_speakers_clean.csv
"extension:csv ""Harvard University"" in:file",algonacci/INHEAD,data/processed/val.csv,https://github.com/algonacci/INHEAD/blob/8a642211c728ef6521b896a49e1a608f7d816cf4/data/processed/val.csv,https://raw.githubusercontent.com/algonacci/INHEAD/8a642211c728ef6521b896a49e1a608f7d816cf4/data/processed/val.csv
"filename:README.md ""Harvard University"" in:file",IndoNLP/indonlu,README.md,https://github.com/IndoNLP/indonlu/blob/ce728f6926a36174b9923dfe49d6a6839b6e9bb7/README.md,https://raw.githubusercontent.com/IndoNLP/indonlu/ce728f6926a36174b9923dfe49d6a6839b6e9bb7/README.md
"filename:README.md ""Harvard University"" in:file",kmkurn/id-nlp-resource,README.md,https://github.com/kmkurn/id-nlp-resource/blob/19797cb0abd840c2c309de3b683d31686a9be8e2/README.md,https://raw.githubusercontent.com/kmkurn/id-nlp-resource/19797cb0abd840c2c309de3b683d31686a9be8e2/README.md
"filename:README.md ""Harvard University"" in:file",mrizkiawaan/TeMendaki_C23PC707,Readme.md,https://github.com/mrizkiawaan/TeMendaki_C23PC707/blob/4088db22fc0d1ef52d746d9a122c93388c82d002/Readme.md,https://raw.githubusercontent.com/mrizkiawaan/TeMendaki_C23PC707/4088db22fc0d1ef52d746d9a122c93388c82d002/Readme.md
